# index	base
1	17
2	65
3	145
4	485
5	649
6	1297
7	577
8	2024
9	5185
10	8182
11	7057
12	8749
13	14401
14	30753
15	56449
16	57601
17	77401
18	129473
19	51841
20	129601
21	254017
22	296449
23	202501
24	389377
25	821339
26	762049
27	583201
28	902501
29	19601
30	470449
31	1822501
32	2073601
33	4120901
34	4064257
35	2822401
36	1587601
37	3484801
38	8294401
39	1555849
40	9331201
41	3650401
42	8193151
43	4762801
44	16769026
45	18289153
46	12700801
47	10285001
48	25920001
49	22619537
50	11995201
51	17322499
52	45158401
53	43468489
54	43560001
55	25401601
56	31360001
57	131584501
58	12966724
59	28755649
60	38102401
61	13231349
62	335923201
63	435974401
64	180633601
65	120963457
66	146821249
67	7263026
68	192099601
69	258781249
70	476280001
71	644764049
72	55989361
73	20353276
74	170067682
75	85377601
76	503004501
77	341510401
78	752716801
79	406425601
80	250905601
81	536869376
82	282240001
83	860606209
84	1111320001
85	1244678401
86	NA
87	452838401
88	295293601
89	146376476
90	189750626
91	524384524
92	177902243
93	462003751
94	1296672301
95	1866240001
96	1124802449
97	NA
98	457228801
99	416565249
100	1235661076
101	815264351
102	914636449
103	1949771251
104	881393644
105	514382401
106	553246849
107	NA
108	NA
109	NA
110	NA
111	NA
112	NA
113	NA
114	NA
115	NA
116	NA
117	649296649
118	NA
119	NA
120	NA
121	NA
122	NA
123	NA
124	NA
125	NA
126	NA
127	NA
128	NA
129	362074049
130	NA
131	192119201
132	NA
133	NA
134	NA
135	NA
136	NA
137	NA
138	NA
139	NA
140	NA
141	NA
142	NA
143	NA
144	NA
145	NA
146	NA
147	NA
148	NA
149	NA
150	NA
151	NA
152	NA
153	NA
154	NA
155	NA
156	NA
157	NA
158	NA
159	NA
160	768398401
161	NA
162	NA
163	NA
164	NA
165	NA
166	NA
167	NA
168	NA
169	NA
170	NA
171	NA
172	NA
173	NA
174	NA
175	NA
176	NA
177	NA
178	NA
179	NA
180	NA
181	NA
182	NA
183	NA
184	NA
185	NA
186	NA
187	NA
188	NA
189	NA
190	NA
191	NA
192	NA
193	NA
194	NA
195	NA
196	NA
197	NA
198	NA
199	NA
200	NA
201	NA
202	NA
203	NA
204	NA
205	NA
206	NA
207	NA
208	NA
209	NA
210	NA
211	NA
212	NA
213	NA
214	NA
215	NA
216	NA
217	NA
218	NA
219	NA
220	NA
221	NA
222	NA
223	NA
224	NA
225	NA
226	NA
227	NA
228	NA
229	NA
230	NA
231	NA
232	NA
233	NA
234	NA
235	NA
236	NA
237	NA
238	NA
239	NA
240	NA
241	NA
242	NA
243	NA
244	NA
245	NA
246	NA
247	NA
248	NA
249	NA
250	NA
251	NA
252	NA
253	NA
254	NA

